index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class
72,176,wall_lamp,wall_lamp,2,lamp
73,178,wall_lamp,wall_lamp,2,lamp
74,179,wall_lamp,wall_lamp,2,lamp
75,180,wall_lamp,wall_lamp,2,lamp
76,181,wash_basins,wash_basins,2,sink
77,182,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
78,183,wash_basins,wash_basins,2,sink
79,184,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
80,185,pool_table,recreation,2,otherprop
81,186,wash_basins,wash_basins,2,sink
82,187,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
83,188,shelves,shelves,2,shelves
84,189,computer,computer,2,television
85,190,baby_bed,baby_bed,2,bed
86,191,bookshelf,bookshelf,2,bookshelf
87,192,shelves,shelves,2,shelves
88,193,shelves,shelves,2,shelves
89,194,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
90,195,stand,stand,2,night_stand
91,196,armchair,armchair,2,chair
92,197,stand,stand,2,night_stand
93,198,tv_bench,tv_bench,2,cabinet
94,199,dressing_table,dressing_table,2,desk
95,200,dressing_table,dressing_table,2,desk
96,201,dressing_table,dressing_table,2,desk
97,202,dressing_table,dressing_table,2,desk
98,203,dressing_table,dressing_table,2,desk
99,204,double_bed,double_bed,2,bed
100,205,double_bed,double_bed,2,bed
101,206,water_dispenser,kitchen_appliance,2,otherprop
102,207,shelves,shelves,2,shelves
103,208,hangers,hangers,2,cabinet
104,209,windows,windows,2,window
105,210,windows,windows,2,window
106,211,windows,windows,2,window
107,212,windows,windows,2,window
108,213,windows,windows,2,window
109,214,door,door,2,door
110,215,tvs,tvs,2,television
111,216,tvs,tvs,2,television
112,217,hangers,hangers,2,cabinet
113,218,music,music,2,otherprop
114,219,dishwasher,kitchen_appliance,2,otherprop
115,220,food_processor,kitchen_appliance,2,otherprop
116,221,coffee_machine,kitchen_appliance,2,otherprop
117,222,microwave,kitchen_appliance,2,otherprop
118,223,vacuuming,household_appliance,2,otherprop
119,224,ironing,household_appliance,2,otherprop
120,225,ac,ac,2,otherprop
121,226,household_appliance,household_appliance,2,otherprop
122,227,ac,ac,2,otherprop
123,228,tvs,tvs,2,television
124,229,bathroom_stuff,bathroom_stuff,2,otherprop
125,230,heater,heater,2,otherprop
126,232,kitchen_cabinet,kitchen_cabinet,2,counter
127,233,stand,stand,2,night_stand
128,235,rug,rug,2,floor_mat
129,236,paintings,paintings,2,picture
130,237,plants,plants,2,otherprop
131,238,rug,rug,2,floor_mat
132,239,mirror,mirror,2,mirror
133,240,floor_lamps,floor_lamps,2,lamp
134,241,range_hood,kitchen_appliance,2,otherprop
135,242,fireplaces,fireplaces,2,otherstructure
136,243,kitchenware,kitchenware,2,otherprop
137,244,kitchenware,kitchenware,2,otherprop
138,245,kitchenware,kitchenware,2,otherprop
139,246,door,door,2,door
140,247,door,door,2,door
141,248,shelves,shelves,2,shelves
142,249,chair,chair,2,chair
143,250,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
144,251,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
145,252,dining_table,dining_table,2,table
146,253,stair,stair,1,floor
147,254,stair,stair,1,floor
148,255,chair,chair,2,chair
149,256,table_lamp,table_lamp,2,lamp
150,257,paintings,paintings,2,picture
151,258,vases,vases,2,otherprop
152,259,sofa,sofa,2,sofa
153,260,sofa,sofa,2,sofa
154,261,sofa,sofa,2,sofa
155,262,sofa,sofa,2,sofa
156,263,ironing,household_appliance,2,otherprop
157,264,range_oven,kitchen_appliance,2,otherprop
158,265,kitchenware,kitchenware,2,otherprop
159,266,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
160,267,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
161,268,shelves,shelves,2,shelves
162,269,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
163,270,bunker_bed,bunker_bed,2,bed
164,271,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
165,272,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
166,273,desk,desk,2,desk
167,274,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
168,275,curtain,curtain,2,curtain
169,276,curtain,curtain,2,blinds
170,277,chair,chair,2,chair
171,278,loudspeaker,music,2,otherprop
172,279,switch,switch,2,night_stand
173,280,switch,switch,2,picture
174,281,kitchen_cabinet,kitchen_cabinet,2,counter
175,282,kitchen_cabinet,kitchen_cabinet,2,counter
176,283,kitchen_cabinet,kitchen_cabinet,2,counter
177,284,kitchen_cabinet,kitchen_cabinet,2,counter
178,285,kitchen_cabinet,kitchen_cabinet,2,counter
179,286,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
180,287,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
181,288,kitchen_cabinet,kitchen_cabinet,2,counter
182,289,kitchen_cabinet,kitchen_cabinet,2,counter
183,290,kitchen_cabinet,kitchen_cabinet,2,counter
184,291,kitchen_cabinet,kitchen_cabinet,2,counter
185,292,shoes_cabinet,shoes_cabinet,2,cabinet
186,293,shelves,shelves,2,shelves
187,294,desk,desk,2,desk
188,295,kitchen_cabinet,kitchen_cabinet,2,counter
189,311,stand,stand,2,night_stand
190,312,stand,stand,2,night_stand
191,313,clock,clock,2,otherprop
192,314,mirror,mirror,2,mirror
193,315,stand,stand,2,night_stand
194,316,trash_can,trash_can,2,otherprop
195,317,trash_can,trash_can,2,otherprop
196,318,stand,stand,2,night_stand
197,319,toys,toys,2,otherprop
198,320,toys,toys,2,otherprop
199,321,sofa,sofa,2,sofa
200,322,toys,toys,2,otherprop
201,323,people,people,2,person
202,324,people,people,2,person
203,325,people,people,2,person
204,326,door,door,2,door
205,327,door,door,2,door
206,328,partitions,partitions,1,otherstructure
207,329,partitions,partitions,1,otherstructure
208,330,partitions,partitions,1,otherstructure
209,331,door,door,2,door
210,333,people,people,2,person
211,334,fireplaces,fireplaces,2,otherstructure
212,335,office_chairs,office_chairs,2,chair
213,336,chair,chair,2,chair
214,337,gym,gym,2,otherprop
215,338,gym,gym,2,otherprop
216,339,gym,gym,2,otherprop
217,340,toys,toys,2,otherprop
218,341,fishtank,toys,2,otherprop
219,342,fishbowl,toys,2,otherprop
220,343,kettle,kitchen_appliance,2,otherprop
221,344,kitchenware,kitchenware,2,otherprop
222,345,toys,toys,2,otherprop
223,346,people,people,2,person
224,347,armchair,armchair,2,chair
225,348,armchair,armchair,2,chair
226,349,armchair,armchair,2,chair
227,350,sofa,sofa,2,sofa
228,351,armchair,armchair,2,chair
229,352,armchair,armchair,2,chair
230,353,toys,toys,2,otherprop
231,354,headstone,headstone,2,otherprop
232,355,coffin,coffin,2,sofa
233,356,toys,toys,2,otherprop
234,357,toys,toys,2,otherprop
235,358,toys,toys,2,otherprop
236,359,toys,toys,2,otherprop
237,360,sofa,sofa,2,otherprop
238,361,garage_door,garage_door,2,door
239,362,decoration,decoration,2,otherprop
240,363,motorcycle,motorcycle,2,otherprop
241,364,car,car,2,otherprop
242,365,column,column,1,wall
243,366,column,column,1,wall
244,367,column,column,1,wall
245,368,fences_gate,fences_gate,2,door
246,369,fences_gate,fences_gate,2,door
247,370,fences_gate,fences_gate,2,door
248,371,fences_gate,fences_gate,2,door
249,372,fences_gate,fences_gate,2,door
250,373,fences_gate,fences_gate,2,door
251,374,fences_gate,fences_gate,2,door
252,375,fences_gate,fences_gate,2,door
253,376,fences_gate,fences_gate,2,door
254,377,outdoor_lamp,outdoor_lamp,2,lamp
255,378,outdoor_lamp,outdoor_lamp,2,lamp
256,379,fences_gate,fences_gate,2,door
257,380,sofa,sofa,2,sofa
258,381,outdoor_rest,outdoor_rest,2,chair
259,382,sofa,sofa,2,sofa
260,383,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
261,384,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
262,385,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
263,386,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
264,387,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
265,388,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
266,389,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
267,390,shelves,shelves,2,shelves
268,391,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
269,392,tv_bench,tv_bench,2,cabinet
270,393,shelves,shelves,2,shelves
271,394,outdoor_lamp,outdoor_lamp,2,lamp
272,395,kitchenware,kitchenware,2,otherprop
273,396,stand,stand,2,night_stand
274,397,dresser,dresser,2,dresser
275,398,dresser,dresser,2,dresser
276,399,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
277,40,dining_table,dining_table,2,table
278,403,double_bed,double_bed,2,bed
279,404,stand,stand,2,night_stand
280,405,kitchen_cabinet,kitchen_cabinet,2,counter
281,406,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
282,407,kitchen_cabinet,kitchen_cabinet,2,counter
283,408,kitchen_cabinet,kitchen_cabinet,2,counter
284,409,chair,chair,2,chair
285,41,coffee_table,coffee_table,2,table
286,410,basketball_hoop,recreation,2,otherprop
287,411,outdoor_rest,outdoor_rest,2,chair
288,412,outdoor_rest,outdoor_rest,2,chair
289,413,recreation,recreation,2,otherprop
290,414,chair,chair,2,chair
291,415,armchair,armchair,2,chair
292,416,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
293,417,desk,desk,2,desk
294,418,toilet,toilet,2,toilet
295,419,table_lamp,table_lamp,2,lamp
296,42,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
297,420,sofa,sofa,2,sofa
298,421,table_lamp,table_lamp,2,lamp
299,422,table_lamp,table_lamp,2,lamp
300,423,table_lamp,table_lamp,2,lamp
301,424,desk,desk,2,desk
302,425,armchair,armchair,2,chair
303,426,armchair,armchair,2,chair
304,427,armchair,armchair,2,chair
305,428,desk,desk,2,desk
306,429,chair,chair,2,chair
307,43,dryer,household_appliance,2,otherprop
308,430,desk,desk,2,desk
309,431,dresser,dresser,2,dresser
310,432,gym,gym,2,otherprop
311,433,outdoor_rest,outdoor_rest,2,chair
312,434,gym,gym,2,otherprop
313,435,gym,gym,2,otherprop
314,436,gym,gym,2,otherprop
315,437,gym,gym,2,otherprop
316,438,gym,gym,2,otherprop
317,439,gym,gym,2,otherprop
318,44,household_appliance,household_appliance,2,otherprop
319,440,shelves,shelves,2,shelves
320,441,chair,chair,2,chair
321,442,dining_table,dining_table,2,table
322,443,toilet,toilet,2,toilet
323,444,toilet,toilet,2,toilet
324,445,shoes_cabinet,shoes_cabinet,2,cabinet
325,446,chair,chair,2,chair
326,447,wash_basins,wash_basins,2,sink
327,448,shelves,shelves,2,shelves
328,449,armchair,armchair,2,chair
329,45,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
330,450,chair,chair,2,chair
331,451,tv_bench,tv_bench,2,cabinet
332,452,dining_table,dining_table,2,table
333,453,toilet,toilet,2,toilet
334,454,tv_bench,tv_bench,2,cabinet
335,455,desk,desk,2,desk
336,456,shelves,shelves,2,shelves
337,457,shelves,shelves,2,shelves
338,458,shelves,shelves,2,shelves
339,459,shelves,shelves,2,shelves
340,46,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
341,460,toys,toys,2,otherprop
342,461,toys,toys,2,otherprop
343,462,toys,toys,2,otherprop
344,463,plants,plants,2,otherprop
345,464,dresser,dresser,2,dresser
346,465,bathtub,bathtub,2,bathtub
347,466,bench_chair,bench_chair,2,chair
348,467,chair,chair,2,chair
349,468,coffee_table,coffee_table,2,table
350,469,dresser,dresser,2,dresser
351,470,coffee_table,coffee_table,2,table
352,471,chair,chair,2,chair
353,472,coffee_table,coffee_table,2,table
354,473,chair,chair,2,chair
355,474,chair,chair,2,chair
356,475,bench_chair,bench_chair,2,chair
357,476,bench_chair,bench_chair,2,chair
358,477,desk,desk,2,desk
359,478,ottoman,ottoman,2,otherprop
360,479,shoes_cabinet,shoes_cabinet,2,cabinet
361,480,dresser,dresser,2,dresser
362,481,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
363,482,bookshelf,bookshelf,2,cabinet
364,483,stand,stand,2,night_stand
365,484,workplace,workplace,2,desk
366,485,desk,desk,2,desk
367,486,desk,desk,2,desk
368,487,desk,desk,2,desk
369,488,stand,stand,2,night_stand
370,489,stand,stand,2,night_stand
371,490,stand,stand,2,night_stand
372,491,armchair,armchair,2,chair
373,492,shelves,shelves,2,shelves
374,493,shelves,shelves,2,shelves
375,494,desk,desk,2,desk
376,495,tv_bench,tv_bench,2,cabinet
377,496,chair,chair,2,chair
378,497,partitions,partitions,1,otherstructure
379,498,partitions,partitions,1,otherstructure
380,499,bathroom_stuff,bathroom_stuff,2,otherprop
381,500,chair,chair,2,chair
382,501,chair,chair,2,chair
383,502,partitions,partitions,1,otherstructure
384,503,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
385,504,dining_table,dining_table,2,table
386,505,shelves,shelves,2,shelves
387,506,desk,desk,2,desk
388,507,armchair,armchair,2,chair
389,508,shelves,shelves,2,shelves
390,509,dresser,dresser,2,dresser
391,510,heater,heater,2,otherprop
392,511,armchair,armchair,2,chair
393,512,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
394,513,stand,stand,2,night_stand
395,514,desk,desk,2,desk
396,515,table_lamp,table_lamp,2,lamp
397,516,office_chairs,office_chairs,2,chair
398,517,floor_lamps,floor_lamps,2,lamp
399,518,whiteboard,whiteboard,2,whiteboard
400,519,fireplaces,fireplaces,2,otherstructure
401,520,floor_lamps,floor_lamps,2,lamp
402,521,floor_lamps,floor_lamps,2,lamp
403,522,piano,music,2,otherprop
404,523,floor_lamps,floor_lamps,2,lamp
405,524,floor_lamps,floor_lamps,2,lamp
406,525,dining_table,dining_table,2,table
407,526,hangers,hangers,2,cabinet
408,527,hangers,hangers,2,cabinet
409,528,kitchen_cabinet,kitchen_cabinet,2,refridgerator
410,529,vases,vases,2,otherprop
411,530,kitchenware,kitchenware,2,otherprop
412,531,candle,candle,2,lamp
413,532,office_chairs,office_chairs,2,chair
414,533,desk,desk,2,desk
415,534,stand,stand,2,night_stand
416,535,armchair,armchair,2,chair
417,536,kitchenware,kitchenware,2,otherprop
418,537,food_processor,kitchen_appliance,2,otherprop
419,538,kitchenware,kitchenware,2,otherprop
420,539,kitchenware,kitchenware,2,otherprop
421,540,toys,toys,2,otherprop
422,541,ottoman,ottoman,2,otherprop
423,542,coffee_table,coffee_table,2,table
424,543,coffee_table,coffee_table,2,table
425,544,ottoman,ottoman,2,otherprop
426,545,ottoman,ottoman,2,otherprop
427,546,coffee_table,coffee_table,2,table
428,547,ottoman,ottoman,2,otherprop
429,548,ottoman,ottoman,2,otherprop
430,549,coffee_table,coffee_table,2,table
431,550,coffee_table,coffee_table,2,table
432,551,coffee_table,coffee_table,2,table
433,552,coffee_table,coffee_table,2,table
434,553,ottoman,ottoman,2,otherprop
435,554,ottoman,ottoman,2,otherprop
436,555,coffee_table,coffee_table,2,table
437,556,coffee_table,coffee_table,2,table
438,557,ottoman,ottoman,2,otherprop
439,558,ottoman,ottoman,2,otherprop
440,559,ottoman,ottoman,2,otherprop
441,560,ottoman,ottoman,2,otherprop
442,561,coffee_table,coffee_table,2,table
443,562,pool,pool,2,otherprop
444,563,coffee_table,coffee_table,2,table
445,564,coffee_table,coffee_table,2,table
446,565,coffee_table,coffee_table,2,table
447,566,coffee_table,coffee_table,2,table
448,567,coffee_table,coffee_table,2,table
449,568,coffee_table,coffee_table,2,table
450,569,coffee_table,coffee_table,2,table
451,57,sofa,sofa,2,sofa
452,570,tv_bench,tv_bench,2,cabinet
453,577,tv_bench,tv_bench,2,cabinet
454,579,coffee_table,coffee_table,2,table
455,580,coffee_table,coffee_table,2,table
456,586,coffee_table,coffee_table,2,table
457,587,coffee_table,coffee_table,2,table
458,589,coffee_table,coffee_table,2,table
459,590,tv_bench,tv_bench,2,cabinet
460,591,coffee_table,coffee_table,2,table
461,592,coffee_table,coffee_table,2,table
462,593,kitchen_cabinet,kitchen_cabinet,2,counter
463,594,kitchen_cabinet,kitchen_cabinet,2,counter
464,595,kitchen_cabinet,kitchen_cabinet,2,counter
465,596,kitchen_cabinet,kitchen_cabinet,2,counter
466,597,kitchen_cabinet,kitchen_cabinet,2,counter
467,598,kitchen_cabinet,kitchen_cabinet,2,counter
468,599,kitchen_cabinet,kitchen_cabinet,2,counter
469,60,bathtub,bathtub,2,bathtub
470,600,kitchen_cabinet,kitchen_cabinet,2,counter
471,601,kitchen_cabinet,kitchen_cabinet,2,counter
472,602,kitchen_cabinet,kitchen_cabinet,2,counter
473,603,kitchen_cabinet,kitchen_cabinet,2,counter
474,604,kitchen_cabinet,kitchen_cabinet,2,counter
475,605,bench_chair,bench_chair,2,chair
476,606,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
477,607,shelves,shelves,2,shelves
478,608,tv_bench,tv_bench,2,cabinet
479,609,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
480,610,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
481,611,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
482,612,shelves,shelves,2,shelves
483,613,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
484,614,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
485,615,dresser,dresser,2,dresser
486,616,tv_bench,tv_bench,2,cabinet
487,617,tv_bench,tv_bench,2,cabinet
488,618,tv_bench,tv_bench,2,cabinet
489,620,plants,plants,2,otherprop
490,621,curtain,curtain,2,curtain
491,622,curtain,curtain,2,curtain
492,623,plants,plants,2,otherprop
493,624,plants,plants,2,otherprop
494,625,curtain,curtain,2,curtain
495,626,chandelier,chandelier,2,lamp
496,627,chandelier,chandelier,2,lamp
497,628,chandelier,chandelier,2,lamp
498,629,chandelier,chandelier,2,lamp
499,63,sofa,sofa,2,sofa
500,630,chandelier,chandelier,2,lamp
501,631,chandelier,chandelier,2,lamp
502,632,chandelier,chandelier,2,lamp
503,633,chandelier,chandelier,2,lamp
504,634,plants,plants,2,otherprop
505,635,pool,pool,2,otherprop
506,636,chandelier,chandelier,2,lamp
507,637,plants,plants,2,otherprop
508,638,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
509,639,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
510,64,sofa,sofa,2,sofa
511,640,trash_can,trash_can,2,otherprop
512,641,recreation,recreation,2,otherprop
513,645,sofa,sofa,2,sofa
514,646,armchair,armchair,2,chair
515,647,ottoman,ottoman,2,otherprop
516,648,bathroom_stuff,bathroom_stuff,2,otherprop
517,649,chandelier,chandelier,2,lamp
518,650,fan,fan,2,otherprop
519,651,toys,toys,2,otherprop
520,652,kitchen_cabinet,kitchen_cabinet,2,counter
521,653,kitchen_cabinet,kitchen_cabinet,2,counter
522,654,dining_table,dining_table,2,table
523,655,dining_table,dining_table,2,table
524,656,dining_table,dining_table,2,table
525,657,kitchen_cabinet,kitchen_cabinet,2,counter
526,658,kitchen_cabinet,kitchen_cabinet,2,counter
527,659,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
528,660,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
529,661,range_hood,kitchen_appliance,2,otherprop
530,662,kitchen_cabinet,kitchen_cabinet,2,counter
531,663,kitchen_cabinet,kitchen_cabinet,2,counter
532,664,dining_table,dining_table,2,table
533,665,kitchen_cabinet,kitchen_cabinet,2,counter
534,666,kitchen_cabinet,kitchen_cabinet,2,counter
535,667,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
536,668,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter
537,669,kitchen_cabinet,kitchen_cabinet,2,counter
538,67,armchair,armchair,2,chair
539,670,kitchen_cabinet,kitchen_cabinet,2,counter
540,671,kitchen_cabinet,kitchen_cabinet,2,counter
541,672,kitchen_cabinet,kitchen_cabinet,2,counter
542,673,kitchen_cabinet,kitchen_cabinet,2,counter
543,674,shelves,shelves,2,shelves
544,675,dining_table,dining_table,2,table
545,676,dining_table,dining_table,2,table
546,677,office_chairs,office_chairs,2,chair
547,678,kitchenware,kitchenware,2,otherprop
548,679,paintings,paintings,2,picture
549,680,paintings,paintings,2,picture
550,681,paintings,paintings,2,picture
551,682,bench_chair,bench_chair,2,chair
552,683,table_lamp,table_lamp,2,lamp
553,684,table_lamp,table_lamp,2,lamp
554,685,table_lamp,table_lamp,2,lamp
555,686,recreation,recreation,2,otherprop
556,687,pets,pets,2,otherprop
557,688,pets,pets,2,otherprop
558,689,pets,pets,2,otherprop
559,69,armchair,armchair,2,chair
560,690,sofa,sofa,2,sofa
561,691,outdoor_lamp,outdoor_lamp,2,lamp
562,692,sofa,sofa,2,sofa
563,693,armchair,armchair,2,chair
564,694,workplace,workplace,2,desk
565,695,workplace,workplace,2,desk
566,696,table_and_chair,table_and_chair,2,table
567,697,table_and_chair,table_and_chair,2,table
568,698,table_and_chair,table_and_chair,2,table
569,699,table_and_chair,table_and_chair,2,table
570,70,armchair,armchair,2,chair
571,700,sofa,sofa,2,sofa
572,701,table_and_chair,table_and_chair,2,table
573,702,pool,pool,2,otherprop
574,703,outdoor_rest,outdoor_rest,2,chair
575,704,outdoor_rest,outdoor_rest,2,chair
576,705,table_and_chair,table_and_chair,2,table
577,706,outdoor_rest,outdoor_rest,2,chair
578,707,outdoor_rest,outdoor_rest,2,chair
579,708,outdoor_rest,outdoor_rest,2,chair
580,709,chair,chair,2,chair
581,71,coffee_table,coffee_table,2,table
582,710,chair,chair,2,chair
583,711,chair,chair,2,chair
584,712,chair,chair,2,chair
585,713,coffee_table,coffee_table,2,table
586,714,coffee_table,coffee_table,2,table
587,715,coffee_table,coffee_table,2,table
588,716,coffee_table,coffee_table,2,table
589,717,plants,plants,2,otherprop
590,718,plants,plants,2,otherprop
591,719,plants,plants,2,otherprop
592,720,plants,plants,2,otherprop
593,721,plants,plants,2,otherprop
594,722,fences_gate,fences_gate,2,door
595,723,plants,plants,2,otherprop
596,724,plants,plants,2,otherprop
597,725,plants,plants,2,otherprop
598,726,plants,plants,2,otherprop
599,727,plants,plants,2,otherprop
600,728,plants,plants,2,otherprop
601,729,pool,pool,2,otherprop
602,73,door,door,2,door
603,730,pool,pool,2,otherprop
604,731,plants,plants,2,otherprop
605,732,plants,plants,2,otherprop
606,733,plants,plants,2,otherprop
607,734,plants,plants,2,otherprop
608,735,plants,plants,2,otherprop
609,736,plants,plants,2,otherprop
610,737,plants,plants,2,otherprop
611,738,plants,plants,2,otherprop
612,739,plants,plants,2,otherprop
613,74,wash_basins,wash_basins,2,sink
614,740,plants,plants,2,otherprop
615,741,plants,plants,2,otherprop
616,742,plants,plants,2,otherprop
617,743,outdoor_rest,outdoor_rest,2,chair
618,744,outdoor_rest,outdoor_rest,2,chair
619,745,sofa,sofa,2,sofa
620,746,outdoor_rest,outdoor_rest,2,chair
621,747,curtain,curtain,2,blinds
622,748,curtain,curtain,2,blinds
623,749,outdoor_rest,outdoor_rest,2,chair
624,75,double_bed,double_bed,2,bed
625,750,curtain,curtain,2,blinds
626,751,curtain,curtain,2,blinds
627,752,windows,windows,2,window
628,753,windows,windows,2,window
629,754,windows,windows,2,window
630,755,windows,windows,2,window
631,756,door,door,2,door
632,757,door,door,2,door
633,758,door,door,2,door
634,759,door,door,2,door
635,760,door,door,2,door
636,761,door,door,2,door
637,762,door,door,2,door
638,763,door,door,2,door
639,764,door,door,2,door
640,765,garage_door,garage_door,2,door
641,766,door,door,2,door
642,767,windows,windows,2,window
643,768,door,door,2,door
644,769,door,door,2,door
645,77,double_bed,double_bed,2,bed
646,770,door,door,2,door
647,771,garage_door,garage_door,2,window
648,773,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
649,775,fences_gate,fences_gate,2,door
650,776,fences_gate,fences_gate,2,door
651,777,fences_gate,fences_gate,2,door
652,778,arch,arch,2,door
653,779,arch,arch,2,door
654,78,single_bed,single_bed,2,bed
655,780,arch,arch,2,door
656,781,paintings,paintings,2,picture
657,782,stair,stair,1,floor
658,783,stair,stair,1,floor
659,784,stair,stair,1,floor
660,785,stair,stair,1,floor
661,786,plants,plants,2,otherprop
662,79,wash_basins,wash_basins,2,sink
663,797,roof,roof,2,otherprop
664,80,bathtub,bathtub,2,bathtub
665,81,bathtub,bathtub,2,bathtub
666,82,bathtub,bathtub,2,bathtub
667,83,toilet,toilet,2,toilet
668,85,washer,household_appliance,2,otherprop
669,86,kitchen_cabinet,kitchen_cabinet,2,counter
